Date,Heure,Temperature
17-04-2024,09:58:39,0.0
17-04-2024,09:58:44,0.0
17-04-2024,09:58:49,0.0
17-04-2024,09:58:54,0.0
17-04-2024,09:58:59,0.0
17-04-2024,09:59:04,0.0
17-04-2024,09:59:09,0.0
17-04-2024,09:59:14,0.0
17-04-2024,09:59:19,0.0
17-04-2024,09:59:48,27.9
17-04-2024,10:27:30,26.1
17-04-2024,10:27:36,26.2
17-04-2024,10:27:41,26.3
17-04-2024,10:27:46,26.4
17-04-2024,10:27:52,26.4
17-04-2024,10:27:57,26.5
17-04-2024,10:28:02,26.5
17-04-2024,10:28:08,26.5
17-04-2024,10:28:13,26.5
17-04-2024,10:28:18,26.5
17-04-2024,10:28:24,26.5
17-04-2024,10:28:29,26.5
17-04-2024,10:28:34,26.5
17-04-2024,10:28:40,26.8
17-04-2024,10:28:45,26.9
17-04-2024,10:28:50,26.9
17-04-2024,10:28:58,26.9
17-04-2024,10:29:04,26.9
17-04-2024,10:29:09,26.9
17-04-2024,10:29:15,26.9
17-04-2024,10:29:20,27.0
17-04-2024,10:29:25,27.0
17-04-2024,10:29:31,27.1
17-04-2024,10:29:36,27.1
17-04-2024,10:29:41,27.2
17-04-2024,10:29:47,27.1
17-04-2024,10:29:52,27.2
17-04-2024,10:29:57,27.2
17-04-2024,10:30:03,27.2
17-04-2024,10:30:08,27.2
17-04-2024,10:30:13,27.3
17-04-2024,10:30:19,27.3
17-04-2024,10:30:24,27.3
17-04-2024,10:36:08,33.3
17-04-2024,10:36:14,33.5
17-04-2024,10:36:19,33.3
17-04-2024,10:36:25,33.2
17-04-2024,10:36:30,33.1
17-04-2024,10:36:35,33.0
17-04-2024,10:36:41,32.8
17-04-2024,10:36:46,32.7
17-04-2024,10:36:51,32.5
17-04-2024,10:36:57,32.3
17-04-2024,10:37:02,32.3
17-04-2024,10:37:07,32.3
17-04-2024,10:37:13,32.1
17-04-2024,10:37:18,32.0
17-04-2024,10:37:24,32.0
17-04-2024,10:37:29,31.7
17-04-2024,10:37:35,31.6
17-04-2024,10:37:40,31.6
17-04-2024,10:37:45,31.6
17-04-2024,10:37:51,31.5
17-04-2024,10:37:56,31.4
17-04-2024,10:38:01,31.2
17-04-2024,10:38:07,31.2
17-04-2024,10:38:12,31.2
17-04-2024,10:38:18,31.0
17-04-2024,10:38:23,31.0
17-04-2024,10:38:28,31.0
17-04-2024,10:38:34,30.9
17-04-2024,10:38:39,30.9
17-04-2024,10:38:44,30.8
17-04-2024,10:38:50,30.7
17-04-2024,10:38:55,30.6
17-04-2024,10:39:00,30.5
17-04-2024,10:39:06,30.5
17-04-2024,10:39:11,30.3
17-04-2024,10:39:17,30.3
17-04-2024,10:39:22,30.2
17-04-2024,10:39:27,30.2
17-04-2024,10:39:33,30.1
17-04-2024,10:39:38,30.1
17-04-2024,10:39:44,30.1
17-04-2024,10:39:49,30.0
17-04-2024,10:39:54,30.0
17-04-2024,10:40:00,30.0
17-04-2024,10:40:05,30.0
17-04-2024,10:40:11,29.8
17-04-2024,10:40:16,29.8
17-04-2024,10:40:22,29.8
17-04-2024,10:40:27,29.8
17-04-2024,10:40:32,29.8
17-04-2024,10:40:38,29.8
17-04-2024,10:40:43,29.7
17-04-2024,10:40:49,29.7
17-04-2024,10:40:54,29.6
17-04-2024,10:40:59,29.6
17-04-2024,10:41:05,29.6
17-04-2024,10:41:10,29.6
17-04-2024,10:41:16,29.6
17-04-2024,10:41:21,29.5
17-04-2024,10:41:26,29.5
17-04-2024,10:41:32,29.5
17-04-2024,10:41:37,29.5
17-04-2024,10:41:43,29.5
17-04-2024,10:41:48,29.4
17-04-2024,10:41:53,29.4
17-04-2024,10:41:59,29.4
17-04-2024,10:42:04,29.4
17-04-2024,10:42:10,29.4
17-04-2024,10:42:15,29.4
17-04-2024,10:42:20,29.4
17-04-2024,10:42:26,29.4
17-04-2024,10:42:31,29.4
17-04-2024,10:42:37,29.4
17-04-2024,10:42:42,29.4
17-04-2024,10:42:47,29.4
17-04-2024,10:42:53,29.4
17-04-2024,10:42:58,29.4
17-04-2024,10:43:04,29.4
17-04-2024,10:43:09,29.4
17-04-2024,10:43:15,29.4
17-04-2024,10:43:20,29.4
17-04-2024,10:43:26,29.4
17-04-2024,10:43:31,29.4
17-04-2024,10:43:36,29.4
17-04-2024,10:43:42,29.4
17-04-2024,10:43:47,29.4
17-04-2024,10:43:53,29.4
17-04-2024,10:43:58,29.4
17-04-2024,10:44:04,29.4
17-04-2024,10:44:09,29.4
17-04-2024,10:44:14,29.4
17-04-2024,10:44:20,29.4
17-04-2024,10:44:25,29.4
17-04-2024,10:44:31,29.4
17-04-2024,10:44:36,29.4
17-04-2024,10:44:41,29.4
17-04-2024,10:44:47,29.4
17-04-2024,10:44:52,29.4
17-04-2024,10:44:58,29.4
17-04-2024,10:45:03,29.4
17-04-2024,10:45:09,29.4
17-04-2024,10:45:14,29.4
17-04-2024,10:45:20,29.3
17-04-2024,10:45:25,29.3
17-04-2024,10:45:30,29.4
17-04-2024,10:51:36,29.1
17-04-2024,10:51:41,29.2
17-04-2024,10:51:47,29.2
17-04-2024,10:51:52,29.2
17-04-2024,10:51:57,29.2
17-04-2024,10:52:03,29.2
17-04-2024,10:52:09,29.2
17-04-2024,10:52:14,29.2
17-04-2024,10:52:19,29.2
17-04-2024,10:52:25,29.2
17-04-2024,10:52:30,29.2
17-04-2024,10:52:36,29.2
17-04-2024,10:52:41,29.2
17-04-2024,10:52:47,29.3
17-04-2024,10:52:52,29.4
17-04-2024,10:52:58,29.4
17-04-2024,10:53:03,29.4
17-04-2024,10:53:09,29.4
17-04-2024,10:53:14,29.4
17-04-2024,10:53:19,29.4
17-04-2024,10:53:25,29.4
17-04-2024,10:53:30,29.4
17-04-2024,10:54:28,29.9
17-04-2024,10:54:34,29.8
17-04-2024,10:54:39,29.8
17-04-2024,10:54:45,29.8
17-04-2024,10:54:50,29.8
17-04-2024,10:54:55,29.8
17-04-2024,10:55:01,29.8
17-04-2024,10:55:06,29.8
17-04-2024,10:55:11,29.8
17-04-2024,10:55:17,29.8
17-04-2024,10:55:22,29.8
17-04-2024,10:55:27,29.8
17-04-2024,10:55:33,29.8
17-04-2024,10:55:38,29.8
17-04-2024,10:55:43,29.8
17-04-2024,10:55:49,29.8
17-04-2024,10:55:54,29.8
17-04-2024,10:56:00,29.8
17-04-2024,10:56:05,29.8
17-04-2024,10:56:10,29.8
17-04-2024,10:56:16,29.8
17-04-2024,10:56:21,29.8
17-04-2024,10:56:27,29.8
17-04-2024,11:01:24,29.8
