Date,Heure,Luminosite
09-05-2024,10:51:46,0
09-05-2024,10:52:24,0
09-05-2024,10:53:25,0
09-05-2024,10:58:45,0
09-05-2024,10:58:56,0
09-05-2024,10:59:04,0
09-05-2024,10:59:15,0
09-05-2024,10:59:23,0
09-05-2024,10:59:36,0
09-05-2024,10:59:44,0
09-05-2024,11:01:10,0
10-05-2024,17:04:43,0
10-05-2024,17:05:28,0
10-05-2024,17:06:19,0
10-05-2024,17:07:24,0
10-05-2024,17:17:09,0
10-05-2024,17:24:07,0
10-05-2024,18:38:32,61
10-05-2024,18:38:43,64
10-05-2024,18:39:20,64
10-05-2024,18:39:25,54
11-05-2024,10:30:09,0
11-05-2024,10:30:47,0
11-05-2024,17:46:24,1703
12-05-2024,09:31:57,0
12-05-2024,09:32:58,0
12-05-2024,09:33:59,0
12-05-2024,09:35:00,112
12-05-2024,09:36:01,95
