Date,Heure,Humidite
12-05-2024,10:18:01,68.6
12-05-2024,10:20:17,67.3
12-05-2024,10:21:18,68.3
12-05-2024,10:22:19,68.8
12-05-2024,10:24:51,66.7
12-05-2024,10:25:01,66.4
12-05-2024,10:25:05,66.4
12-05-2024,10:25:11,66.2
12-05-2024,10:25:14,66.2
12-05-2024,10:25:17,66.1
12-05-2024,10:25:20,66.0
12-05-2024,10:25:24,66.0
12-05-2024,10:25:32,65.9
12-05-2024,10:25:36,65.8
12-05-2024,10:29:35,63.9
12-05-2024,10:29:45,63.7
12-05-2024,10:29:56,63.7
12-05-2024,10:30:07,63.7
12-05-2024,10:30:18,63.6
12-05-2024,10:30:28,63.5
12-05-2024,10:30:39,63.5
12-05-2024,10:30:50,63.5
12-05-2024,10:31:01,63.6
12-05-2024,10:31:12,63.6
12-05-2024,10:31:22,63.7
12-05-2024,10:31:33,63.7
12-05-2024,10:31:44,63.8
12-05-2024,10:31:55,63.8
12-05-2024,10:32:06,63.8
12-05-2024,10:32:17,63.7
12-05-2024,10:32:27,63.5
12-05-2024,10:32:38,63.4
12-05-2024,10:32:49,63.4
12-05-2024,10:33:00,63.2
12-05-2024,10:33:11,63.3
12-05-2024,10:33:21,63.3
12-05-2024,10:33:32,63.3
12-05-2024,10:33:43,63.5
12-05-2024,10:33:54,63.4
12-05-2024,10:34:05,64.0
12-05-2024,10:34:16,64.0
12-05-2024,10:34:26,63.9
12-05-2024,10:34:37,63.8
12-05-2024,10:34:48,63.9
12-05-2024,10:34:59,63.8
12-05-2024,10:35:10,63.7
12-05-2024,10:35:21,63.8
12-05-2024,10:35:31,64.0
12-05-2024,10:35:42,63.8
12-05-2024,10:35:53,63.7
12-05-2024,10:36:04,63.6
12-05-2024,10:36:15,63.5
12-05-2024,10:36:25,63.4
12-05-2024,10:36:36,63.4
12-05-2024,11:53:18,66.1
12-05-2024,11:53:27,66.3
12-05-2024,11:53:38,65.9
12-05-2024,11:53:49,65.3
12-05-2024,11:54:00,64.9
12-05-2024,11:54:11,64.5
12-05-2024,11:54:22,64.7
12-05-2024,11:54:32,65.0
12-05-2024,11:54:43,65.4
12-05-2024,11:54:54,65.4
12-05-2024,11:55:05,65.3
12-05-2024,11:55:16,65.1
12-05-2024,11:55:26,65.1
12-05-2024,11:55:37,65.1
12-05-2024,11:55:48,64.5
12-05-2024,11:55:59,63.9
12-05-2024,11:56:10,64.0
12-05-2024,11:56:21,63.8
12-05-2024,11:56:31,63.4
12-05-2024,11:56:42,63.0
12-05-2024,11:56:53,62.8
12-05-2024,11:57:04,62.6
12-05-2024,11:57:15,62.7
12-05-2024,11:57:25,62.4
12-05-2024,11:57:36,62.1
12-05-2024,11:57:47,61.9
12-05-2024,11:57:58,61.7
12-05-2024,11:58:33,62.7
12-05-2024,11:58:44,62.8
12-05-2024,11:58:54,62.7
12-05-2024,11:59:05,62.5
12-05-2024,11:59:16,62.2
12-05-2024,11:59:27,62.5
12-05-2024,11:59:38,62.3
12-05-2024,11:59:49,62.3
12-05-2024,12:00:23,62.5
12-05-2024,12:00:34,62.4
12-05-2024,12:00:45,62.7
12-05-2024,12:00:56,62.5
12-05-2024,12:01:06,62.5
12-05-2024,12:01:51,63.0
12-05-2024,12:02:16,63.4
12-05-2024,12:02:27,63.2
12-05-2024,12:02:48,63.8
12-05-2024,12:02:59,64.0
12-05-2024,12:03:10,64.2
12-05-2024,12:03:20,64.1
12-05-2024,12:03:31,63.6
12-05-2024,12:03:42,63.4
12-05-2024,12:03:53,63.1
12-05-2024,12:04:04,62.8
12-05-2024,12:04:15,62.6
12-05-2024,12:08:09,61.0
12-05-2024,12:08:20,60.2
12-05-2024,12:09:10,60.0
12-05-2024,12:09:21,59.9
12-05-2024,12:09:32,59.8
12-05-2024,12:09:43,59.7
12-05-2024,12:09:54,59.6
12-05-2024,12:10:04,59.6
12-05-2024,12:10:15,59.5
12-05-2024,12:10:26,59.5
12-05-2024,12:10:37,59.4
12-05-2024,12:10:48,59.3
12-05-2024,12:10:58,59.2
12-05-2024,12:11:09,59.2
12-05-2024,12:11:20,59.1
12-05-2024,12:11:31,59.0
12-05-2024,12:11:42,59.0
12-05-2024,12:11:53,58.9
12-05-2024,12:12:03,58.9
12-05-2024,12:12:14,58.8
12-05-2024,12:12:25,58.8
12-05-2024,12:12:36,58.7
12-05-2024,12:12:47,58.7
12-05-2024,12:12:57,58.7
12-05-2024,12:13:08,58.6
12-05-2024,12:13:19,58.6
12-05-2024,12:13:30,58.6
12-05-2024,12:13:41,58.6
12-05-2024,12:13:52,58.6
12-05-2024,12:14:02,58.7
12-05-2024,12:14:13,58.7
12-05-2024,12:14:24,58.7
12-05-2024,12:14:35,58.6
12-05-2024,12:14:46,58.6
12-05-2024,12:14:56,58.5
12-05-2024,12:15:07,58.5
12-05-2024,12:15:18,58.3
12-05-2024,12:15:29,58.3
12-05-2024,12:15:40,58.3
12-05-2024,12:15:51,58.3
12-05-2024,12:16:01,58.3
12-05-2024,12:16:12,58.3
12-05-2024,12:16:23,58.3
12-05-2024,12:16:34,58.4
12-05-2024,12:16:45,58.4
12-05-2024,12:16:55,58.5
12-05-2024,12:17:06,58.5
12-05-2024,12:17:17,58.5
12-05-2024,12:17:28,58.5
12-05-2024,12:17:39,58.5
12-05-2024,12:17:49,58.5
12-05-2024,12:18:00,58.4
12-05-2024,12:18:11,58.6
12-05-2024,12:18:22,58.7
12-05-2024,12:18:33,58.6
12-05-2024,12:18:44,58.7
