Date,Heure,Luminosite
12-05-2024,10:18:01,82
12-05-2024,10:20:17,417
12-05-2024,10:21:18,125
12-05-2024,10:22:19,186
12-05-2024,10:24:51,94
12-05-2024,10:25:01,86
12-05-2024,10:25:05,84
12-05-2024,10:25:11,77
12-05-2024,10:25:14,77
12-05-2024,10:25:17,75
12-05-2024,10:25:20,79
12-05-2024,10:25:24,71
12-05-2024,10:25:32,67
12-05-2024,10:25:36,69
12-05-2024,10:29:35,0
12-05-2024,10:29:45,0
12-05-2024,10:29:56,1193
12-05-2024,10:30:07,1254
12-05-2024,10:30:18,1227
12-05-2024,10:30:28,1327
12-05-2024,10:30:39,1216
12-05-2024,10:30:50,1168
12-05-2024,10:31:01,1205
12-05-2024,10:31:12,1184
12-05-2024,10:31:22,1237
12-05-2024,10:31:33,1242
12-05-2024,10:31:44,1118
12-05-2024,10:31:55,1158
12-05-2024,10:32:06,1059
12-05-2024,10:32:17,1137
12-05-2024,10:32:27,1193
12-05-2024,10:32:38,1252
12-05-2024,10:32:49,1214
12-05-2024,10:33:00,1254
12-05-2024,10:33:11,1246
12-05-2024,10:33:21,1156
12-05-2024,10:33:32,1164
12-05-2024,10:33:43,1212
12-05-2024,10:33:54,752
12-05-2024,10:34:05,829
12-05-2024,10:34:16,705
12-05-2024,10:34:26,799
12-05-2024,10:34:37,545
12-05-2024,10:34:48,26
12-05-2024,10:34:59,1133
12-05-2024,10:35:10,1043
12-05-2024,10:35:21,1019
12-05-2024,10:35:31,431
12-05-2024,10:35:42,400
12-05-2024,10:35:53,357
12-05-2024,10:36:04,370
12-05-2024,10:36:15,307
12-05-2024,10:36:25,328
12-05-2024,10:36:36,336
12-05-2024,11:53:18,697
12-05-2024,11:53:27,753
12-05-2024,11:53:38,727
12-05-2024,11:53:49,772
12-05-2024,11:54:00,785
12-05-2024,11:54:11,694
12-05-2024,11:54:22,766
12-05-2024,11:54:32,759
12-05-2024,11:54:43,755
12-05-2024,11:54:54,686
12-05-2024,11:55:05,531
12-05-2024,11:55:16,745
12-05-2024,11:55:26,421
12-05-2024,11:55:37,688
12-05-2024,11:55:48,745
12-05-2024,11:55:59,746
12-05-2024,11:56:10,638
12-05-2024,11:56:21,401
12-05-2024,11:56:31,614
12-05-2024,11:56:42,336
12-05-2024,11:56:53,647
12-05-2024,11:57:04,387
12-05-2024,11:57:15,298
12-05-2024,11:57:25,490
12-05-2024,11:57:36,458
12-05-2024,11:57:47,583
12-05-2024,11:57:58,746
12-05-2024,11:58:33,752
12-05-2024,11:58:44,813
12-05-2024,11:58:54,381
12-05-2024,11:59:05,318
12-05-2024,11:59:16,208
12-05-2024,11:59:27,293
12-05-2024,11:59:38,656
12-05-2024,11:59:49,836
12-05-2024,12:00:23,644
12-05-2024,12:00:34,721
12-05-2024,12:00:45,315
12-05-2024,12:00:56,334
12-05-2024,12:01:06,918
12-05-2024,12:01:51,959
12-05-2024,12:02:16,963
12-05-2024,12:02:27,912
12-05-2024,12:02:48,1008
12-05-2024,12:02:59,911
12-05-2024,12:03:10,802
12-05-2024,12:03:20,674
12-05-2024,12:03:31,48
12-05-2024,12:03:42,1715
12-05-2024,12:03:53,1783
12-05-2024,12:04:04,1774
12-05-2024,12:04:15,1872
12-05-2024,12:08:09,642
12-05-2024,12:08:20,13
12-05-2024,12:09:10,36
12-05-2024,12:09:21,26
12-05-2024,12:09:32,733
12-05-2024,12:09:43,175
12-05-2024,12:09:54,2003
12-05-2024,12:10:04,2005
12-05-2024,12:10:15,2002
12-05-2024,12:10:26,1978
12-05-2024,12:10:37,1871
12-05-2024,12:10:48,1922
12-05-2024,12:10:58,1913
12-05-2024,12:11:09,1919
12-05-2024,12:11:20,1900
12-05-2024,12:11:31,1935
12-05-2024,12:11:42,1936
12-05-2024,12:11:53,1942
12-05-2024,12:12:03,1934
12-05-2024,12:12:14,1758
12-05-2024,12:12:25,1424
12-05-2024,12:12:36,1879
12-05-2024,12:12:47,1872
12-05-2024,12:12:57,1872
12-05-2024,12:13:08,1866
12-05-2024,12:13:19,1854
12-05-2024,12:13:30,1851
12-05-2024,12:13:41,1851
12-05-2024,12:13:52,1843
12-05-2024,12:14:02,1842
12-05-2024,12:14:13,1841
12-05-2024,12:14:24,1827
12-05-2024,12:14:35,869
12-05-2024,12:14:46,1424
12-05-2024,12:14:56,1473
12-05-2024,12:15:07,1709
12-05-2024,12:15:18,1680
12-05-2024,12:15:29,1663
12-05-2024,12:15:40,1641
12-05-2024,12:15:51,1618
12-05-2024,12:16:01,1603
12-05-2024,12:16:12,1570
12-05-2024,12:16:23,1533
12-05-2024,12:16:34,1497
12-05-2024,12:16:45,1461
12-05-2024,12:16:55,1450
12-05-2024,12:17:06,1440
12-05-2024,12:17:17,1444
12-05-2024,12:17:28,1471
12-05-2024,12:17:39,1470
12-05-2024,12:17:49,437
12-05-2024,12:18:00,1079
12-05-2024,12:18:11,0
12-05-2024,12:18:22,0
12-05-2024,12:18:33,0
12-05-2024,12:18:44,714
