Date,Heure,Temperature
12-05-2024,10:18:01,22.8
12-05-2024,10:20:17,23.0
12-05-2024,10:21:18,23.0
12-05-2024,10:22:19,23.4
12-05-2024,10:24:51,23.9
12-05-2024,10:25:01,23.9
12-05-2024,10:25:05,23.9
12-05-2024,10:25:11,23.9
12-05-2024,10:25:14,23.9
12-05-2024,10:25:17,23.9
12-05-2024,10:25:20,23.9
12-05-2024,10:25:24,23.9
12-05-2024,10:25:32,23.9
12-05-2024,10:25:36,23.9
12-05-2024,10:29:35,24.2
12-05-2024,10:29:45,24.2
12-05-2024,10:29:56,24.2
12-05-2024,10:30:07,24.2
12-05-2024,10:30:18,24.2
12-05-2024,10:30:28,24.2
12-05-2024,10:30:39,24.2
12-05-2024,10:30:50,24.1
12-05-2024,10:31:01,24.2
12-05-2024,10:31:12,24.2
12-05-2024,10:31:22,24.2
12-05-2024,10:31:33,24.2
12-05-2024,10:31:44,24.3
12-05-2024,10:31:55,24.3
12-05-2024,10:32:06,24.3
12-05-2024,10:32:17,24.3
12-05-2024,10:32:27,24.3
12-05-2024,10:32:38,24.3
12-05-2024,10:32:49,24.2
12-05-2024,10:33:00,24.2
12-05-2024,10:33:11,24.2
12-05-2024,10:33:21,24.2
12-05-2024,10:33:32,24.2
12-05-2024,10:33:43,24.2
12-05-2024,10:33:54,24.2
12-05-2024,10:34:05,24.2
12-05-2024,10:34:16,24.2
12-05-2024,10:34:26,24.2
12-05-2024,10:34:37,24.2
12-05-2024,10:34:48,24.3
12-05-2024,10:34:59,24.3
12-05-2024,10:35:10,24.2
12-05-2024,10:35:21,24.2
12-05-2024,10:35:31,24.2
12-05-2024,10:35:42,24.2
12-05-2024,10:35:53,24.2
12-05-2024,10:36:04,24.2
12-05-2024,10:36:15,24.2
12-05-2024,10:36:25,24.1
12-05-2024,10:36:36,24.1
12-05-2024,11:53:18,25.4
12-05-2024,11:53:27,25.4
12-05-2024,11:53:38,25.4
12-05-2024,11:53:49,25.4
12-05-2024,11:54:00,25.4
12-05-2024,11:54:11,25.6
12-05-2024,11:54:22,25.6
12-05-2024,11:54:32,25.7
12-05-2024,11:54:43,25.7
12-05-2024,11:54:54,25.7
12-05-2024,11:55:05,25.8
12-05-2024,11:55:16,25.8
12-05-2024,11:55:26,25.8
12-05-2024,11:55:37,25.8
12-05-2024,11:55:48,25.8
12-05-2024,11:55:59,25.7
12-05-2024,11:56:10,25.7
12-05-2024,11:56:21,25.7
12-05-2024,11:56:31,25.7
12-05-2024,11:56:42,25.7
12-05-2024,11:56:53,25.7
12-05-2024,11:57:04,25.7
12-05-2024,11:57:15,25.7
12-05-2024,11:57:25,25.7
12-05-2024,11:57:36,25.7
12-05-2024,11:57:47,25.7
12-05-2024,11:57:58,25.7
12-05-2024,11:58:33,25.7
12-05-2024,11:58:44,25.7
12-05-2024,11:58:54,25.7
12-05-2024,11:59:05,25.7
12-05-2024,11:59:16,25.7
12-05-2024,11:59:27,25.7
12-05-2024,11:59:38,25.7
12-05-2024,11:59:49,25.7
12-05-2024,12:00:23,25.8
12-05-2024,12:00:34,25.8
12-05-2024,12:00:45,25.8
12-05-2024,12:00:56,25.8
12-05-2024,12:01:06,25.8
12-05-2024,12:01:51,25.8
12-05-2024,12:02:16,25.9
12-05-2024,12:02:27,25.8
12-05-2024,12:02:48,25.8
12-05-2024,12:02:59,25.8
12-05-2024,12:03:10,25.8
12-05-2024,12:03:20,25.8
12-05-2024,12:03:31,25.8
12-05-2024,12:03:42,25.8
12-05-2024,12:03:53,25.8
12-05-2024,12:04:04,25.8
12-05-2024,12:04:15,25.8
12-05-2024,12:08:09,25.8
12-05-2024,12:08:20,26.1
12-05-2024,12:09:10,26.1
12-05-2024,12:09:21,26.1
12-05-2024,12:09:32,26.1
12-05-2024,12:09:43,26.2
12-05-2024,12:09:54,26.2
12-05-2024,12:10:04,26.2
12-05-2024,12:10:15,26.3
12-05-2024,12:10:26,26.3
12-05-2024,12:10:37,26.3
12-05-2024,12:10:48,26.3
12-05-2024,12:10:58,26.3
12-05-2024,12:11:09,26.4
12-05-2024,12:11:20,26.4
12-05-2024,12:11:31,26.4
12-05-2024,12:11:42,26.4
12-05-2024,12:11:53,26.5
12-05-2024,12:12:03,26.5
12-05-2024,12:12:14,26.5
12-05-2024,12:12:25,26.5
12-05-2024,12:12:36,26.5
12-05-2024,12:12:47,26.5
12-05-2024,12:12:57,26.5
12-05-2024,12:13:08,26.5
12-05-2024,12:13:19,26.5
12-05-2024,12:13:30,26.5
12-05-2024,12:13:41,26.5
12-05-2024,12:13:52,26.5
12-05-2024,12:14:02,26.5
12-05-2024,12:14:13,26.5
12-05-2024,12:14:24,26.5
12-05-2024,12:14:35,26.5
12-05-2024,12:14:46,26.5
12-05-2024,12:14:56,26.5
12-05-2024,12:15:07,26.5
12-05-2024,12:15:18,26.5
12-05-2024,12:15:29,26.5
12-05-2024,12:15:40,26.5
12-05-2024,12:15:51,26.5
12-05-2024,12:16:01,26.5
12-05-2024,12:16:12,26.5
12-05-2024,12:16:23,26.5
12-05-2024,12:16:34,26.5
12-05-2024,12:16:45,26.5
12-05-2024,12:16:55,26.5
12-05-2024,12:17:06,26.5
12-05-2024,12:17:17,26.5
12-05-2024,12:17:28,26.5
12-05-2024,12:17:39,26.5
12-05-2024,12:17:49,26.5
12-05-2024,12:18:00,26.5
12-05-2024,12:18:11,26.5
12-05-2024,12:18:22,26.5
12-05-2024,12:18:33,26.5
12-05-2024,12:18:44,26.5
